Date,StockCode,Description,Demand,AveragePrice_INR
2009-01-12,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2009-02-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2009-03-12,10002,INFLATABLE POLITICAL GLOBE,6,85.0
2009-04-12,10002,INFLATABLE POLITICAL GLOBE,73,85.0
2009-05-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2009-06-12,10002,INFLATABLE POLITICAL GLOBE,49,85.0
2009-07-12,10002,INFLATABLE POLITICAL GLOBE,2,85.0
2009-08-12,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2009-09-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2009-10-12,10002,INFLATABLE POLITICAL GLOBE,1,170.0
2009-11-12,10002,INFLATABLE POLITICAL GLOBE,9,85.0
2009-12-12,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-01-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-01-02,10002,INFLATABLE POLITICAL GLOBE,4,125.5
2010-01-03,10002,INFLATABLE POLITICAL GLOBE,36,85.0
2010-01-04,10002,INFLATABLE POLITICAL GLOBE,36,85.0
2010-01-05,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-01-06,10002,INFLATABLE POLITICAL GLOBE,14,85.0
2010-01-07,10002,INFLATABLE POLITICAL GLOBE,10,85.0
2010-01-08,10002,INFLATABLE POLITICAL GLOBE,10,85.0
2010-01-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-01-10,10002,INFLATABLE POLITICAL GLOBE,400,72.0
2010-01-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-01-12,10002,INFLATABLE POLITICAL GLOBE,120,85.0
2010-02-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-02,10002,INFLATABLE POLITICAL GLOBE,0,125.5
2010-02-03,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-05,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-06,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-07,10002,INFLATABLE POLITICAL GLOBE,10,85.0
2010-02-08,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-02-10,10002,INFLATABLE POLITICAL GLOBE,0,72.0
2010-02-11,10002,INFLATABLE POLITICAL GLOBE,37,85.0
2010-02-12,10002,INFLATABLE POLITICAL GLOBE,2,85.0
2010-03-01,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-02,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-03-03,10002,INFLATABLE POLITICAL GLOBE,200,72.0
2010-03-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-05,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-06,10002,INFLATABLE POLITICAL GLOBE,72,85.0
2010-03-07,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-08,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-10,10002,INFLATABLE POLITICAL GLOBE,12,85.0
2010-03-11,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-03-12,10002,INFLATABLE POLITICAL GLOBE,16,139.0
2010-04-01,10002,INFLATABLE POLITICAL GLOBE,3,85.0
2010-04-02,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-04-03,10002,INFLATABLE POLITICAL GLOBE,216,107.6666667
2010-04-04,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-04-05,10002,INFLATABLE POLITICAL GLOBE,48,85.0
2010-04-06,10002,INFLATABLE POLITICAL GLOBE,3,166.0
2010-04-07,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-04-08,10002,INFLATABLE POLITICAL GLOBE,0,85.0
2010-04-09,10002,INFLATABLE POLITICAL GLOBE,0,85.0
