Feature,Importance
Demand_RollingMean_28,335
DayOfWeek,292
Demand,240
Transactions_RollingMean_7,198
WeekOfYear,188
Demand_RollingMean_7,187
DayOfWeek_Cos,177
Demand_Trend_7_28,163
Product_Age_Days,159
AveragePrice_INR,139
TransactionCount,124
Demand_Lag_1,123
Demand_Lag_14,121
WeekOfYear_Sin,118
Revenue_INR,112
Price_RollingMean_7,100
Demand_RollingStd_28,90
Demand_Lag_28,84
Price_Lag_7,83
Price_Change_Pct,80
Demand_Lag_7,79
Demand_RollingMean_14,75
Price_Lag_1,74
DayOfWeek_Sin,72
Price_Position_7,68
Demand_RollingStd_7,61
Revenue_Lag_1,57
Transactions_Lag_1,54
Revenue_Lag_7,50
WeekOfYear_Cos,49
Month_Cos,43
Month_Sin,18
Month,16
IsWeekend,13
Quarter,2
Observed,0
