Feature,Importance
Demand_Lag_14,3693
Product_HistoricalMax,3429
Product_HistoricalNonZeroRate,3289
Product_Age_Days,2803
Demand_Trend_7_28,2670
Price_RollingMean_7,2050
Demand_RollingStd_28,2021
Demand_Lag_28,2008
Demand,1998
Product_HistoricalMean,1998
Price_Change_Pct,1983
Demand_RollingMean_28,1939
WeekOfYear_Sin,1913
Demand_Lag_7,1881
Demand_RollingMean_14,1770
WeekOfYear,1675
Demand_vs_ProductHistory,1671
Demand_RollingMean_7,1645
Demand_Lag_1,1572
AveragePrice_INR,1545
Transactions_RollingMean_7,1447
Price_Lag_1,1402
Demand_RollingStd_7,1365
DayOfWeek,1261
Revenue_INR,1244
Revenue_Lag_1,1115
WeekOfYear_Cos,1083
DayOfWeek_Sin,840
TransactionCount,682
DayOfWeek_Cos,517
Month_Sin,348
Product_HistoricalDays,337
Month_Cos,327
Month,243
IsWeekend,30
Quarter,6
Observed,0
